sample	node_number	network_edge_number	Average degree	Clustering_Coefficient	Average_path_length	network_diameter	Positive_connection	Negative_connection	Global_efficiency	EM-PM	EM-PM_Positive	EM-PM_Negative	Temp	Sal	PO4	SiO3	NO2	NO3	NH4	Velocity 	SSTA
S0712	511	2385	10.18786693	0.31924974	3.854039424	9	0.574842767	0.425157233	0.285624	0.423060797	0.208805031	0.214255765	26.521	34.942	0.090225564	1.15	0.026676829	0.564429461	0.268153542	0.21	0.2
S0713	498	2316	10.31526104	0.332584515	3.940764828	9	0.581606218	0.418393782	0.2823699	0.43566494	0.218048359	0.21761658	27.038	34.053	0.169117647	0.9	0.266768293	0.676832575	0.266349639	0.23	0.1
S0714	498	2413	10.58232932	0.334161785	3.900753374	10	0.587235806	0.412764194	0.2888508	0.424368007	0.212598425	0.211769581	27.544	35.091	0.080882353	1.2	0.070503049	0.325375476	0.494925061	0.22	-0.1
S0715	490	2972	13	0.368544711	3.64356044	9	0.531965007	0.468034993	0.4009257	0.304845222	0.155114401	0.149730821	27.646	34.97	0.059612519	0.9	0.032755299	0.46769966	0.544167778	0.23	-0.2
S0716	474	2860	13.17299578	0.38171999	3.596827556	8	0.535314685	0.464685315	0.4002181	0.311188811	0.157692308	0.153496503	28.403	34.949	0.111773472	0.7	0.038535645	0.43462177	0.569156662	0.16	0.2
S0718	497	3097	13.07847082	0.37391368	3.593983789	9	0.5305134	0.4694866	0.4025788	0.319664191	0.162092347	0.157571844	28.388	34.589	0.075642965	0.85	0.036608863	0.099878853	0.839804707	0.27	0.1
S0719	507	3209	13.06706114	0.377741108	3.621735031	10	0.531941415	0.468058585	0.4009818	0.335930196	0.170146463	0.165783733	28.243	34.84	0.075642965	0.8	0.036608863	0.15902353	0.399578536	0.44	0.1
S0720	509	3108	12.80157171	0.367562524	3.612262964	9	0.527992278	0.472007722	0.400287	0.321428571	0.16023166	0.161196911	28.305	34.777	0.136157337	1	0.050096339	0.295672542	0.345703338	0.14	-0.2
S0721	496	3123	13.16532258	0.386353945	3.614632151	10	0.53378162	0.46621838	0.4012651	0.329811079	0.166506564	0.163304515	28.559	34.508	0.102941176	1.1	0.050096339	0.445809029	0.543603176	0.18	-0.6
S0722	430	2545	13.72093023	0.386146619	3.591199527	9	0.566601179	0.433398821	0.4047341	0.36502947	0.199607073	0.165422397	28.496	34.608	0.117647059	1.15	0.05973025	0.295137811	0.756101737	0.07	-0.6
S0723	509	2640	10.89194499	0.37180139	3.871898044	12	0.601136364	0.398863636	0.3028789	0.277651515	0.142045455	0.135606061	28.126	34.303	0.088365243	1.262135922	0.045906656	0.26632963	0.369441445	0.17	-0.3
S0724	470	2410	11.21702128	0.38151071	3.799194868	12	0.606639004	0.393360996	0.2996738	0.275518672	0.143568465	0.131950207	28.357	34.45	0.080409357	1.45631068	0.049732211	0.166062096	0.647854516	0.26	-0.3
S0725	513	2638	10.79337232	0.369507398	3.875502982	12	0.582259287	0.417740713	0.3037738	0.274450341	0.136087945	0.138362396	28.241	34.168	0.058479532	1.796116505	0.034429992	0.098719686	0.48216126	0.25	-0.3
S0726	497	2479	10.77263581	0.381213435	3.960510312	13	0.60629286	0.39370714	0.2997221	0.276321097	0.139572408	0.136748689	28.498	34.444	0.080409357	1.310679612	0.034429992	0.158407473	0.610366388	0.29	-0.3
S0727	506	2678	11.02964427	0.371258997	3.804314304	11	0.593353249	0.406646751	0.3068094	0.279686333	0.140029873	0.13965646	28.692	34.428	0.124269006	1.40776699	0.021040551	0.254441543	1.249698514	0.42	-0.6
S0728	490	2507	10.9877551	0.372881023	3.833053282	11	0.601515756	0.398484244	0.3018108	0.274830475	0.142002393	0.132828081	28.548	34.784	0.092724679	1.165048544	0.038255547	0.131625077	0.61785305	0.61	-0.5
S0729	499	2577	10.94388778	0.370829793	3.906727894	13	0.601086535	0.398913465	0.3047574	0.271245634	0.141249515	0.12999612	29.213	34.848	0.171184023	1.165048544	0.034429992	0.140042	0.738571516	0.68	-0.2
S0730	512	2597	10.69140625	0.365991415	3.84581748	12	0.595302272	0.404697728	0.303843	0.279553331	0.141701964	0.137851367	29.169	34.529	0.142653352	1.116504854	0.034429992	0.282374415	0.829069254	0.57	-0.2
S0731	466	2146	10.62660944	0.35569122	3.983638458	12	0.595060578	0.404939422	0.2976647	0.279589935	0.136067102	0.143522833	29.294	34.767	0.093795094	1.019417476	0.026778883	0.138510373	0.467187935	0.59	-0.1
S0732	486	2432	10.90534979	0.376986663	3.820982677	12	0.602796053	0.397203947	0.2995873	0.282072368	0.143092105	0.138980263	29.622	34.762	0.194805195	1.067961165	0.021040551	0.213119229	0.650151003	0.47	0
